Official_Ranking,Country,Official_Score,OGAE_Albania,OGAE_Andorra,OGAE_Armenia,OGAE_Australia,OGAE_Austria,OGAE_Azerbaijan,OGAE_Belgium,OGAE_Bulgaria,OGAE_Croatia,OGAE_Cyprus,OGAE_Czech Republic,OGAE_Denmark,OGAE_Estonia,OGAE_Finland,OGAE_France,EC_Germany,OGAE_Germany,OGAE_Greece,OGAE_Hungary,OGAE_Iceland,OGAE_Ireland,OGAE_Israel,OGAE_Italy,OGAE_Latvia,OGAE_Lithuania,OGAE_Luxembourg,OGAE_Malta,OGAE_Netherlands,OGAE_North_Macedonia,OGAE_Norway,OGAE_Poland,OGAE_Portugal,OGAE_World,OGAE_Romania,OGAE_Serbia,OGAE_Slovenia,OGAE_Spain,OGAE_Sweden,OGAE_Switzerland,OGAE_Turkiye,OGAE_Ukraine,OGAE_United_Kingdom
1,Sweden,12,12,8,12,10,10,12,12,7,10,12,12,12,12,7,12,10,7,12,12,10,10,12,8,12,12,1,12,10,8,8,12,7,10,12,10,12,12,,10,12,10,12
2,Finland,10,10,12,7,12,12,5,10,12,8,8,6,10,10,,8,12,12,8,8,12,12,10,10,3,10,8,7,12,10,12,10,10,12,6,12,6,10,12,8,10,12,10
3,Israel,8,3,1,8,,1,2,3,,,6,4,,5,,4,,,5,2,2,1,,,,,,5,,,3,,3,,8,,,3,3,,6,2,3
4,Italy,7,,5,,,6,4,5,,6,5,5,6,7,6,6,7,10,6,4,6,4,4,,7,8,10,8,3,12,7,4,8,4,10,6,10,6,8,5,3,,5
5,Norway,6,5,2,6,6,7,10,7,6,12,7,8,7,1,10,10,6,5,7,10,7,6,8,6,10,6,,10,6,6,,6,5,6,,2,7,5,7,6,8,8,6
6,Ukraine,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Belgium,4,,,,,5,,,,,,,,,,5,,,,,,,,,,,5,,,,,,,,,,5,,,,,,1
8,Estonia,3,,,,,,,,,,,,,,,1,,,,,,,,,5,,,,,,,,,,,,,,,,,,
9,Australia,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
10,Czechia,1,4,,1,4,2,3,2,10,2,2,,,,5,3,3,,1,5,3,2,2,5,1,,,,4,,4,5,,1,,4,3,,2,3,1,,4
11,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
12,Cyprus,,,,,3,,,,,,,,,,,,,,2,,,,,,4,,,3,,,1,,,,,,,,1,,,,
13,Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
14,Armenia,,,,,,,,,1,1,,,,,,,,,,,,,,1,,1,,,1,,,,1,,,1,,,,,,,
15,Austria,,8,4,10,8,,8,6,8,5,3,7,4,3,8,7,5,6,3,7,5,7,3,7,,7,7,2,7,,6,8,4,8,2,8,2,4,5,7,4,7,8
16,France,,6,7,5,7,8,1,8,5,,10,10,8,8,12,,8,8,10,6,8,8,7,12,8,4,12,4,8,7,10,7,12,7,5,7,8,7,10,12,5,,7
17,Spain,,2,10,3,,,7,,3,4,,,,,,,1,1,,,,3,5,4,,2,,,2,4,,,6,3,3,5,,,,,2,6,
18,Moldova,,,,,1,3,,,,,,1,,,2,,,2,,3,1,,,,,,4,,,,2,1,,,7,,,,,1,,4,
19,Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,
20,Switzerland,,,,,,,,,,,,2,,6,,,2,3,,,,,,,6,,,,,,,,,,,,,,4,,,,
21,Slovenia,,1,3,,,,,1,4,7,,,,,,2,,,,,,,,,,5,,,,3,,2,,,,3,,1,,2,,,
22,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Portugal,,,,,,,,,,,,,1,,,,,4,,,,,,2,,,3,,,,,,,2,,,,2,,,,,
24,Serbia,,,,,2,,,,,,,,3,,4,,,,,,,,,,,3,,,,5,,,,,,,,,,,,,
25,United Kingdom,,7,6,4,5,4,6,4,2,3,4,3,5,2,3,,4,,4,1,4,5,6,3,2,,6,6,5,2,5,3,2,5,1,,4,8,6,4,7,3,
26,Germany,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
28,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Georgia,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
30,Greece,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
35,Netherlands,,,,,,,,,,,,,,4,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
36,Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,